  오빠 친구 테스트 케이스,,,
,,,
66,,용돈 9000원' 결제 진행 후 인게임 화면으로 돌아왔을 시 해당 재화를 획득하는가?,
67,,용돈 15000원' 결제 진행 후 인게임 화면으로 돌아왔을 시 해당 재화를 획득하는가?,
68,,용돈 30000원' 결제 진행 후 인게임 화면으로 돌아왔을 시 해당 재화를 획득하는가?,
69,,용돈 50000원' 결제 진행 후 인게임 화면으로 돌아왔을 시 해당 재화를 획득하는가?,
70,,용돈 9000원' 결제 진행 후 화면 중앙에 오빠 캐릭터가 나타나는가?,
71,,용돈15000원' 결제 진행 후 화면 중앙에 오빠 캐릭터가 나타나는가?,
72,,용돈30000원' 결제 진행 후 화면 중앙에 오빠 캐릭터가 나타나는가?,
73,,용돈 50000원' 결제 진행 후 화면 중앙에 오빠 캐릭터가 나타나는가?,
74,,오빠 캐릭터가 '옛다 용돈 100원이다' 대사를 하는가?,
75,,화면의 오빠 캐릭터가 1초 뒤 사라지는가?,
76,,화면 우측 상단의 x버튼 클릭 시 재화 창이 사라지는가?,
77,,화면 중앙 우측에 위치한 '일상 남매 툰' 버튼 클릭 시 일상 남매 공감 툰 화면으로 이동하는가?,
78,,일상 남매 공감 툰 화면으로 이동 했을 시 해당 배경 음악이 재생되는가?,
79,,일상 남매 공감 툰 화면으로 이동 했을 시 시작화면의 배경 음악이 중지되는가?,
80,,화면의 상단에 '일상 남매 공감 툰' 제목이 존재하는가?,
81,,제목 하단에 주인공과 오빠가 그려진 일러스트가 존재하는가?,
82,,일러스트 우측에 '일상남매 공감툰' 제목이 존재하는가?,
83,,일러스트 우측에 '니가 네 푸딩 먹었냐?ㅡㅡ' 문구가 존재하는가?,
84,,일러스트 하단에 이미지 란이 존재한는가?,
85,,이미지 란 우측에 제목 란이 존재 하는가?,
86,,제목 란 하단에 '1화. 제발 부르지마' 문구가 존재하는가?,
87,,1화. 제발 부르지마' 문구 하단에 '2화. 복수혈전' 문구가 존재하는가?,
88,,2화. 복수혈전' 문구 하단에 '3화. 춤신 춤왕' 문구가 존재하는가?,
89,,3화. 춤신 춤왕' 문구 하단에 '4화. 정신연령 몇살?' 문구가 존재하는가?,
90,,4화. 정신연령 몇살?' 문구 하단에 '5화. 칭찬의 기준' 문구가 존재하는가?,
91,,5화. 칭찬의 기준' 문구 하단에 '6화. 너나 잘하세요' 문구가 존재하는가?,
92,,6화. 너나 잘하세요' 문구 하단에 '7화. 아무데서나 자면 안되는 이유' 문구가 존재하는가?,
93,,1화. 제발 부르지마' 문구 우측에 해당 이미지가 존재하는가?,
94,,2화. 복수혈전' 문구 우측에 해당 이미지가 존재하는가?,
95,,3화. 춤신 춤왕' 문구 우측에 해당 이미지가 존재하는가?,
96,,4화. 정신연령 몇살?' 문구 우측에 해당 이미지가 존재하는가?,
97,,5화. 칭찬의 기준' 문구 우측에 해당 이미지가 존재하는가?,
98,,6화. 너나 잘하세요' 문구 우측에 해당 이미지가 존재하는가?,
99,,7화. 아무데서나 자면 안되는 이유' 문구 우측에 해당 이미지가 존재하는가?,
100,,1화. 제발 부르지마' 문구 클릭 시 해당 만화 페이지로 이동하는가?,
101,,만화 페이지 우측 하단의 오른쪽화살표 버튼 클릭 시 다음 페이지로 이동하는가?,
