Geometry Dash Lite  테스트 케이스,,,
,,,
62,,[로봇1] 아이콘이 [화살표] 아이콘 오른쪽에 있는가?,
63,,[캐릭터 스킨] 목록에 [로봇2] 아이콘이 있는가?,
64,,[로봇2] 아이콘이 [로봇1] 아이콘 오른쪽에 있는가?,
65,,[캐릭터 스킨] 목록에 [비행정] 아이콘이 있는가?,
66,,[비행정] 아이콘이 [로봇2] 아이콘 오른쪽에 있는가?,
67,,[캐릭터 스킨] 목록에 [보드] 아이콘이 있는가?,
68,,[보드] 아이콘이 [비행정] 아이콘 오른쪽에 있는가?,
69,,[캐릭터 스킨] 목록에 [별] 아이콘이 있는가?,
70,,[별] 아이콘이 [보드] 아이콘 오른쪽에 있는가?,
71,,[캐릭터 스킨] 목록에 [방울] 아이콘이 있는가?,
72,,[방울] 아이콘이 [별] 아이콘 오른쪽에 있는가?,
73,,[캐릭터 스킨] 목록 하단에 [Tap🔒for more info!] 문구가 있는가?,
74,,[Tap🔒for more info!] 문구 하단에 [목록 별 스킨] 인벤토리가 있는가?,
75,,[목록 별 스킨] 인벤토리에 [CUBE1] 스킨이 있는가?,
76,,[CUBE1] 스킨의 잠금 상태가 [잠금 해제]로 설정되어 있는가?,
77,,[목록 별 스킨] 인벤토리에 [CUBE2] 스킨이 있는가?,
78,,[CUBE2] 스킨이 [CUBE1] 스킨의 오른쪽에 있는가?,
79,,[CUBE2] 스킨의 잠금 상태가 [잠금 해제]로 설정되어 있는가?,
80,,[목록 별 스킨] 인벤토리에 [CUBE3] 스킨이 있는가?,
81,,[CUBE3] 스킨이 [CUBE2] 스킨의 오른쪽에 있는가?,
82,,[CUBE3] 스킨의 잠금 상태가 [잠금 해제]로 설정되어 있는가?,
83,,[목록 별 스킨] 인벤토리에 [CUBE4] 스킨이 있는가?,
84,,[CUBE4] 스킨이 [CUBE3] 스킨의 오른쪽에 있는가?,
85,,[CUBE4] 스킨의 잠금 상태가 [잠금 해제]로 설정되어 있는가?,
86,,[목록 별 스킨] 인벤토리에 [CUBE5] 스킨이 있는가?,
87,,[CUBE5] 스킨이 [CUBE4] 스킨의 오른쪽에 있는가?,
88,,[CUBE5] 스킨의 잠금 상태가 [잠금]으로 설정되어 있는가?,
89,,[목록 별 스킨] 인벤토리에 [CUBE6] 스킨이 있는가?,
90,,[CUBE6] 스킨이 [CUBE5] 스킨의 오른쪽에 있는가?,
91,,[CUBE6] 스킨의 잠금 상태가 [잠금]으로 설정되어 있는가?,
92,,[목록 별 스킨] 인벤토리에 [CUBE7] 스킨이 있는가?,
93,,[CUBE7] 스킨이 [CUBE6] 스킨의 오른쪽에 있는가?,
94,,[CUBE7] 스킨의 잠금 상태가 [잠금]으로 설정되어 있는가?,
95,,[목록 별 스킨] 인벤토리에 [CUBE8] 스킨이 있는가?,
96,,[CUBE8] 스킨이 [CUBE7] 스킨의 오른쪽에 있는가?,
97,,[CUBE8] 스킨의 잠금 상태가 [잠금]으로 설정되어 있는가?,
98,,[목록 별 스킨] 인벤토리에 [CUBE9] 스킨이 있는가?,
99,,[CUBE9] 스킨이 [CUBE8] 스킨의 오른쪽에 있는가?,
100,,[CUBE9] 스킨의 잠금 상태가 [잠금]으로 설정되어 있는가?,
101,,[목록 별 스킨] 인벤토리에 [CUBE10] 스킨이 있는가?,
102,,[CUBE10] 스킨이 [CUBE9] 스킨의 오른쪽에 있는가?,
103,,[CUBE10] 스킨의 잠금 상태가 [잠금]으로 설정되어 있는가?,
104,,[목록 별 스킨] 인벤토리에 [CUBE11] 스킨이 있는가?,
105,,[CUBE11] 스킨이 [CUBE10] 스킨의 오른쪽에 있는가?,
106,,[CUBE11] 스킨의 잠금 상태가 [잠금]으로 설정되어 있는가?,
107,,[목록 별 스킨] 인벤토리에 [CUBE12] 스킨이 있는가?,
108,,[CUBE12] 스킨이 [CUBE11] 스킨의 오른쪽에 있는가?,
109,,[CUBE5] 스킨의 잠금 상태가 [잠금]으로 설정되어 있는가?,
110,,뒤로가기 버튼 클릭시 [게임 타이틀] 화면으로 전환되는가?,
111,"게임
 스테이지
 선택화면",[게임 타이틀] 화면에서 [게임 맵 스테이지 선택] 버튼 클릭 시 [게임 스테이지 선택] 화면으로 전환되는가?,
112,,[게임 스테이지 선택] 화면 왼쪽 상단에 [게임 타이틀로 이동하기] 버튼이 있는가?,
